Phoneme,tone,stress,syllabic,short,long,consonantal,sonorant,continuant,delayedRelease,approximant,tap,trill,nasal,lateral,labial,round,labiodental,coronal,anterior,distributed,strident,dorsal,high,low,front,back,tense,retractedTongueRoot,advancedTongueRoot,periodicGlottalSource,epilaryngealSource,spreadGlottis,constrictedGlottis,fortis,raisedLarynxEjective,loweredLarynxImplosive,click
ŋǂ,0,-,-,-,-,+,"+,-",-,-,-,-,-,"+,-",-,-,0,0,"-,+",-,+,-,"+,-",+,-,-,-,0,0,0,"+,-",-,-,-,-,-,-,"-,+"
ŋǂ͓ˡ,0,-,-,-,-,+,"+,-",-,+,-,-,-,"+,-","-,+",-,0,0,"-,+",-,+,-,"+,-",+,-,-,-,0,0,0,"+,-",-,-,-,-,-,-,"-,+"
ŋǃ,0,-,-,-,-,+,"+,-",-,-,-,-,-,"+,-",-,-,0,0,"-,+",+,-,-,"+,-",+,-,-,-,0,0,0,"+,-",-,-,-,-,-,-,"-,+"
ŋˤ,0,-,-,-,-,+,+,-,0,-,-,-,+,-,-,0,0,-,0,0,0,+,+,-,-,-,0,+,-,+,-,-,-,-,-,-,-
ŋ̤ǀ͓,0,-,-,-,-,+,"+,-",-,+,-,-,-,"+,-",-,-,0,0,"-,+",+,+,-,"+,-",+,-,-,-,0,0,0,"+,-",-,"+,-",-,-,-,-,"-,+"
ŋ̤ǂ,0,-,-,-,-,+,"+,-",-,-,-,-,-,"+,-",-,-,0,0,"-,+",-,+,-,"+,-",+,-,-,-,0,0,0,"+,-",-,"+,-",-,-,-,-,"-,+"
ŋ̤ǂ͓ˡ,0,-,-,-,-,+,"+,-",-,+,-,-,-,"+,-","-,+",-,0,0,"-,+",-,+,-,"+,-",+,-,-,-,0,0,0,"+,-",-,"+,-",-,-,-,-,"-,+"
ŋ̤ǃ,0,-,-,-,-,+,"+,-",-,-,-,-,-,"+,-",-,-,0,0,"-,+",+,-,-,"+,-",+,-,-,-,0,0,0,"+,-",-,"+,-",-,-,-,-,"-,+"
ŋ̥ǀ͓xˀ,0,-,-,-,-,+,"+,-,-","-,-,+",+,-,-,-,"+,-,-",-,-,0,0,"-,+,-",+,+,-,"+,-,+",+,-,-,-,0,0,0,-,-,-,"-,-,+",-,-,-,"-,+,-"
ŋ̥ǀ͓ʰ,0,-,-,-,-,+,"+,-",-,+,-,-,-,"+,-",-,-,0,0,"-,+",+,+,-,"+,-",+,-,-,-,0,0,0,-,-,"-,+",-,-,-,-,"-,+"
ŋ̥ǂxˀ,0,-,-,-,-,+,"+,-,-","-,-,+","0,-,+",-,-,-,"+,-,-",-,-,0,0,"-,+,-",-,+,-,"+,-,+",+,-,-,-,0,0,0,-,-,-,"-,-,+",-,-,-,"-,+,-"
ŋ̥ǂʰ,0,-,-,-,-,+,"+,-",-,-,-,-,-,"+,-",-,-,0,0,"-,+",-,+,-,"+,-",+,-,-,-,0,0,0,-,-,"-,+",-,-,-,-,"-,+"
ŋ̥ǂˀ,0,-,-,-,-,+,"+,-",-,-,-,-,-,"+,-",-,-,0,0,"-,+",-,+,-,"+,-",+,-,-,-,0,0,0,-,-,-,"-,+",-,-,-,"-,+"
