Phoneme,tone,stress,syllabic,short,long,consonantal,sonorant,continuant,delayedRelease,approximant,tap,trill,nasal,lateral,labial,round,labiodental,coronal,anterior,distributed,strident,dorsal,high,low,front,back,tense,retractedTongueRoot,advancedTongueRoot,periodicGlottalSource,epilaryngealSource,spreadGlottis,constrictedGlottis,fortis,raisedLarynxEjective,loweredLarynxImplosive,click
ɟɦ,0,-,-,-,-,"+,-",-,"-,+","-,+",-,-,-,-,-,-,0,0,"+,-",-,+,-,"+,-",+,-,+,-,0,0,0,+,-,"-,+",-,-,-,-,-
ɡɦ,0,-,-,-,-,"+,-",-,"-,+","-,+",-,-,-,-,-,-,0,0,-,0,0,0,"+,-",+,-,-,-,0,0,0,+,-,"-,+",-,-,-,-,-
ɳɦ,0,-,-,-,-,"+,-","+,-","-,+",+,-,-,-,"+,-",-,-,0,0,"+,-",-,-,-,-,0,0,0,0,0,0,0,+,-,"-,+",-,-,-,-,-
ɧ,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,-,+,+,+,+,-,-,-,0,0,0,-,-,-,-,-,-,-,-
ʉ̟,0,-,+,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,+,-,0,-,+,-,-,+,-,-,-,0,-,-,0
dz̪,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,+,+,+,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
cɲ,0,-,-,-,-,+,"-,+",-,-,-,-,-,"-,+",-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,"-,+",-,-,-,-,-,-,-
kŋ,0,-,-,-,-,+,"-,+",-,-,-,-,-,"-,+",-,-,0,0,-,0,0,0,+,+,-,-,-,0,0,0,"-,+",-,-,-,-,-,-,-
pm,0,-,-,-,-,+,"-,+",-,-,-,-,-,"-,+",-,+,-,-,-,0,0,0,-,0,0,0,0,0,0,0,"-,+",-,-,-,-,-,-,-
tn,0,-,-,-,-,+,"-,+",-,-,-,-,-,"-,+",-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,"-,+",-,-,-,-,-,-,-
t̪n̪,0,-,-,-,-,+,"-,+",-,-,-,-,-,"-,+",-,-,0,0,+,+,+,-,-,0,0,0,0,0,0,0,"-,+",-,-,-,-,-,-,-
ʈɳ,0,-,-,-,-,+,"-,+",-,-,-,-,-,"-,+",-,-,0,0,+,-,-,-,-,0,0,0,0,0,0,0,"-,+",-,-,-,-,-,-,-
ɪɛ,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,"+,-",-,+,-,-,-,-,+,-,-,-,0,-,-,0
ʊɔ,0,-,+,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,"+,-",-,-,+,-,-,-,+,-,-,-,0,-,-,0
tl,0,-,-,-,-,+,"-,+","-,+",-,"-,+",-,-,-,"-,+",-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,"-,+",-,-,-,-,-,-,-
nd̪,0,-,-,-,-,+,"+,-",-,-,-,-,-,"+,-",-,-,0,0,+,+,"-,+",-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
ɲʄ,0,-,-,-,-,+,"+,-",-,-,-,-,-,"+,-",-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,+,-,-,-,-,-,"-,+",-
ẽĩ,0,-,+,-,-,-,+,+,0,+,-,-,+,-,-,0,0,-,0,0,0,+,"-,+",-,+,-,+,-,-,+,-,-,-,0,-,-,0
õũ,0,-,+,-,-,-,+,+,0,+,-,-,+,-,+,+,-,-,0,0,0,+,"-,+",-,-,+,+,-,-,+,-,-,-,0,-,-,0
ɑe,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,"+,-","-,+","+,-",+,-,-,+,-,-,-,0,-,-,0
ɑo,0,-,+,-,-,-,+,+,0,+,-,-,-,-,"-,+",+,-,-,0,0,0,+,-,"+,-",-,+,+,-,-,+,-,-,-,0,-,-,0
ɑu,0,-,+,-,-,-,+,+,0,+,-,-,-,-,"-,+",+,-,-,0,0,0,+,"-,+","+,-",-,+,+,-,-,+,-,-,-,0,-,-,0
ɑ̃ĩ,0,-,+,-,-,-,+,+,0,+,-,-,+,-,-,0,0,-,0,0,0,+,"-,+","+,-","-,+","+,-",+,-,-,+,-,-,-,0,-,-,0
ɑ̃õ,0,-,+,-,-,-,+,+,0,+,-,-,+,-,"-,+",+,-,-,0,0,0,+,-,"+,-",-,+,+,-,-,+,-,-,-,0,-,-,0
x̥,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,-,0,0,0,-,-,-,-,-,-,-,-
z̥,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,+,-,+,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
ɣ̥,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,-,0,0,0,-,-,-,-,-,-,-,-
t̪ʷ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,+,+,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
ɴɢ,0,-,-,-,-,+,"+,-",-,-,-,-,-,"+,-",-,-,0,0,-,0,0,0,+,-,-,-,+,0,0,0,+,-,-,-,-,-,-,-
aɔ,0,-,+,-,-,-,+,+,0,+,-,-,-,-,"-,+",+,-,-,0,0,0,+,-,"+,-",-,"-,+",-,-,-,+,-,-,-,0,-,-,0
eɔ,0,-,+,-,-,-,+,+,0,+,-,-,-,-,"-,+",+,-,-,0,0,0,+,-,-,"+,-","-,+","+,-",-,-,+,-,-,-,0,-,-,0
eɪ,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,"-,+",-,+,-,"+,-",-,-,+,-,-,-,0,-,-,0
eʊ,0,-,+,-,-,-,+,+,0,+,-,-,-,-,"-,+",+,-,-,0,0,0,+,"-,+",-,"+,-","-,+","+,-",-,-,+,-,-,-,0,-,-,0
iʊ,0,-,+,-,-,-,+,+,0,+,-,-,-,-,"-,+",+,-,-,0,0,0,+,+,-,"+,-","-,+","+,-",-,-,+,-,-,-,0,-,-,0
oɛ,0,-,+,-,-,-,+,+,0,+,-,-,-,-,"+,-",+,-,-,0,0,0,+,-,-,"-,+","+,-","+,-",-,-,+,-,-,-,0,-,-,0
oɪ,0,-,+,-,-,-,+,+,0,+,-,-,-,-,"+,-",+,-,-,0,0,0,+,"-,+",-,"-,+","+,-","+,-",-,-,+,-,-,-,0,-,-,0
oʊ,0,-,+,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,"-,+",-,-,+,"+,-",-,-,+,-,-,-,0,-,-,0
uɛ,0,-,+,-,-,-,+,+,0,+,-,-,-,-,"+,-",+,-,-,0,0,0,+,"+,-",-,"-,+","+,-","+,-",-,-,+,-,-,-,0,-,-,0
uɪ,0,-,+,-,-,-,+,+,0,+,-,-,-,-,"+,-",+,-,-,0,0,0,+,+,-,"-,+","+,-","+,-",-,-,+,-,-,-,0,-,-,0
˥˧̰,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,-,+,0,0,0,0
˧˩̤,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,+,-,0,0,0,0
˨˥,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a̰ḭ,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,"-,+","+,-","-,+",-,+,-,-,+,-,-,+,0,-,-,0
a̰ṵ,0,-,+,-,-,-,+,+,0,+,-,-,-,-,"-,+",+,-,-,0,0,0,+,"-,+","+,-",-,"-,+",+,-,-,+,-,-,+,0,-,-,0
˥˧,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t̪ɬ̪,0,-,-,-,-,+,-,"-,+","-,+",-,-,-,-,"-,+",-,0,0,+,+,+,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
t̪ɬ̪ʰ,0,-,-,-,-,+,-,"-,+","-,+",-,-,-,-,"-,+",-,0,0,+,+,+,-,-,0,0,0,0,0,0,0,-,-,"-,+",-,-,-,-,-
t̪ɬ̪ʼ,0,-,-,-,-,+,-,"-,+","-,+",-,-,-,-,"-,+",-,0,0,+,+,+,-,-,0,0,0,0,0,0,0,-,-,-,"-,+",-,"-,+",-,-
e̘,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,-,+,-,+,-,+,+,-,-,-,0,-,-,0
e̙,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,-,+,-,+,+,-,+,-,-,-,0,-,-,0
i̘,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,-,+,+,-,-,-,0,-,-,0
i̙,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,+,-,+,-,-,-,0,-,-,0
o̘,0,-,+,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,-,-,-,+,+,-,+,+,-,-,-,0,-,-,0
o̙,0,-,+,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,-,-,-,+,+,+,-,+,-,-,-,0,-,-,0
u̘,0,-,+,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,+,-,-,+,+,-,+,+,-,-,-,0,-,-,0
u̙,0,-,+,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,+,-,-,+,+,+,-,+,-,-,-,0,-,-,0
t̠n̠,0,-,-,-,-,+,"-,+",-,-,-,-,-,"-,+",-,-,0,0,+,"+,-","-,+",-,-,0,0,0,0,0,0,0,"-,+",-,-,-,-,-,-,-
t̺,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
ʃʰ,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,-,+,+,-,0,0,0,0,0,0,0,-,-,+,-,-,-,-,-
mw,0,-,-,-,-,"+,-",+,"-,+",0,"-,+",-,-,"+,-",-,+,"-,+",-,-,0,0,0,"-,+",+,-,-,+,+,0,0,+,-,-,-,-,-,-,-
ɓː,0,-,-,-,+,+,-,-,-,-,-,-,-,-,+,-,-,-,0,0,0,-,0,0,0,0,0,0,0,+,-,-,-,-,-,+,-
ɗː,0,-,-,-,+,+,-,-,-,-,-,-,-,-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,+,-
dʑᶣ,0,-,-,-,-,+,-,"-,+","-,+",-,-,-,-,-,"-,+",+,-,+,+,"-,+","-,+","-,+",+,-,+,-,0,0,0,+,-,-,-,-,-,-,-
sᶣ,0,-,-,-,-,+,-,+,+,-,-,-,-,-,+,+,-,+,+,-,+,+,+,-,+,-,0,0,0,-,-,-,-,-,-,-,-
tɕᶣ,0,-,-,-,-,+,-,"-,+","-,+",-,-,-,-,-,"-,+",+,-,+,+,"-,+","-,+","-,+",+,-,+,-,0,0,0,-,-,-,-,-,-,-,-
ɕᶣ,0,-,-,-,-,+,-,+,+,-,-,-,-,-,+,+,-,+,+,+,+,+,+,-,+,-,0,0,0,-,-,-,-,-,-,-,-
ɲᶣ,0,-,-,-,-,+,+,-,0,-,-,-,+,-,+,+,-,+,-,+,-,+,+,-,+,-,0,0,0,+,-,-,-,-,-,-,-
kpʲ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,0,0,0,+,+,-,+,-,0,0,0,-,-,-,-,-,-,-,-
lᶣ,0,-,-,-,-,+,+,+,0,+,-,-,-,+,+,+,-,+,+,-,-,+,+,-,+,-,0,0,0,+,-,-,-,-,-,-,-
ŋmʲ,0,-,-,-,-,+,+,-,0,-,-,-,+,-,"-,+",-,-,-,0,0,0,+,+,-,"-,+",-,0,0,0,+,-,-,-,-,-,-,-
ɡbʲ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,0,0,0,+,+,-,+,-,0,0,0,+,-,-,-,-,-,-,-
ʑᶣ,0,-,-,-,-,+,-,+,+,-,-,-,-,-,+,+,-,+,+,+,+,+,+,-,+,-,0,0,0,+,-,-,-,-,-,-,-
br,0,-,-,-,-,+,"-,+","-,+",-,"-,+",-,"-,+",-,-,"+,-",-,-,"-,+",+,-,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
mbː,0,-,-,-,"-,+",+,"+,-",-,-,-,-,-,"+,-",-,+,-,-,-,0,0,0,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
ndː,0,-,-,-,"-,+",+,"+,-",-,-,-,-,-,"+,-",-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
ŋɡː,0,-,-,-,"-,+",+,"+,-",-,-,-,-,-,"+,-",-,-,0,0,-,0,0,0,+,+,-,-,-,0,0,0,+,-,-,-,-,-,-,-
ʔʲː,0,-,-,-,+,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,0,0,0,-,-,-,+,-,-,-,-
ɡᶣ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,0,0,0,+,+,-,+,-,0,0,0,+,-,-,-,-,-,-,-
ʙ,0,-,-,-,-,+,+,+,0,+,-,+,-,-,+,-,-,-,0,0,0,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
ṽ,0,-,-,-,-,+,-,+,+,-,-,-,+,-,+,-,+,-,0,0,0,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
bɡ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,"+,-",-,-,-,0,0,0,"-,+",+,-,-,-,0,0,0,+,-,-,-,-,-,-,-
d̤z̤,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,+,-,+,-,0,0,0,0,0,0,0,+,-,+,-,-,-,-,-
pkʰ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,"+,-",-,-,-,0,0,0,"-,+",+,-,-,-,0,0,0,-,-,"-,+",-,-,-,-,-
ps,0,-,-,-,-,+,-,"-,+","-,+",-,-,-,-,-,"+,-",-,-,"-,+",+,-,+,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
w̤,0,-,-,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,+,-,-,+,+,0,0,+,-,+,-,-,-,-,-
ɥ̃,0,-,-,-,-,-,+,+,0,+,-,-,+,-,+,+,-,-,0,0,0,+,+,-,+,-,+,0,0,+,-,-,-,-,-,-,-
eʲ,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,-,-,+,-,-,-,0,-,-,0
↓˦↓˦,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ɖr,0,-,-,-,-,+,"-,+","-,+",-,"-,+",-,"-,+",-,-,-,0,0,+,"-,+",-,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
ʈr,0,-,-,-,-,+,"-,+","-,+",-,"-,+",-,"-,+",-,-,-,0,0,+,"-,+",-,-,-,0,0,0,0,0,0,0,"-,+",-,-,-,-,-,-,-
ɦʷ,0,-,-,-,-,-,-,+,+,-,-,-,-,-,+,+,-,-,0,0,0,-,0,0,0,0,0,0,0,+,-,+,-,-,-,-,-
sʷʲ,0,-,-,-,-,+,-,+,+,-,-,-,-,-,+,+,-,+,+,-,+,+,+,-,+,-,0,0,0,-,-,-,-,-,-,-,-
a̤ˑ,0,-,+,+,+,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,+,-,-,0,-,-,+,-,+,-,0,-,-,0
a̰ː,0,-,+,-,+,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,+,-,-,0,-,-,+,-,-,+,0,-,-,0
a̰ˑ,0,-,+,+,+,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,+,-,-,0,-,-,+,-,-,+,0,-,-,0
e̤ˑ,0,-,+,+,+,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,-,+,-,+,-,-,+,-,+,-,0,-,-,0
ḛː,0,-,+,-,+,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,-,+,-,+,-,-,+,-,-,+,0,-,-,0
ḛˑ,0,-,+,+,+,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,-,+,-,+,-,-,+,-,-,+,0,-,-,0
i̤ˑ,0,-,+,+,+,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,-,-,+,-,+,-,0,-,-,0
ḭː,0,-,+,-,+,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,-,-,+,-,-,+,0,-,-,0
ḭˑ,0,-,+,+,+,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,-,-,+,-,-,+,0,-,-,0
o̤ˑ,0,-,+,+,+,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,-,-,-,+,+,-,-,+,-,+,-,0,-,-,0
o̰ː,0,-,+,-,+,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,-,-,-,+,+,-,-,+,-,-,+,0,-,-,0
o̰ˑ,0,-,+,+,+,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,-,-,-,+,+,-,-,+,-,-,+,0,-,-,0
ṳˑ,0,-,+,+,+,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,+,-,-,+,+,-,-,+,-,+,-,0,-,-,0
ɔ̤ˑ,0,-,+,+,+,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,-,-,-,+,-,-,-,+,-,+,-,0,-,-,0
ɔ̰ː,0,-,+,-,+,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,-,-,-,+,-,-,-,+,-,-,+,0,-,-,0
ɔ̰ˑ,0,-,+,+,+,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,-,-,-,+,-,-,-,+,-,-,+,0,-,-,0
ɛ̤ˑ,0,-,+,+,+,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,-,+,-,-,-,-,+,-,+,-,0,-,-,0
ɛ̰ː,0,-,+,-,+,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,-,+,-,-,-,-,+,-,-,+,0,-,-,0
ɛ̰ˑ,0,-,+,+,+,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,-,+,-,-,-,-,+,-,-,+,0,-,-,0
l̥ː,0,-,-,-,+,+,+,+,0,+,-,-,-,+,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
ɱð,0,-,-,-,-,+,"+,-","-,+",+,-,-,-,"+,-",-,"+,-",-,+,"-,+",+,+,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
iːe,0,-,+,-,"+,-",-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,"+,-",-,+,-,+,-,-,+,-,-,-,0,-,-,0
iːɛ,0,-,+,-,"+,-",-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,"+,-",-,+,-,"+,-",-,-,+,-,-,-,0,-,-,0
uːa,0,-,+,-,"+,-",-,+,+,0,+,-,-,-,-,"+,-",+,-,-,0,0,0,+,"+,-","-,+",-,"+,-",+,-,-,+,-,-,-,0,-,-,0
uːʌ,0,-,+,-,"+,-",-,+,+,0,+,-,-,-,-,"+,-",+,-,-,0,0,0,+,"+,-",-,-,+,"+,-",-,-,+,-,-,-,0,-,-,0
ɓʷ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,0,0,0,-,0,0,0,0,0,0,0,+,-,-,-,-,-,+,-
ɗʷ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,+,-,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,+,-
ɰ̃,0,-,-,-,-,-,+,+,0,+,-,-,+,-,-,0,0,-,0,0,0,+,+,-,-,+,+,0,0,+,-,-,-,-,-,-,-
ɾʷ,0,-,-,-,-,+,+,+,0,+,+,-,-,-,+,+,-,+,+,-,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
ɤ̃ː,0,-,+,-,+,-,+,+,0,+,-,-,+,-,-,0,0,-,0,0,0,+,-,-,-,+,+,-,-,+,-,-,-,0,-,-,0
b̤v̤,0,-,-,-,-,+,-,-,+,-,-,-,-,-,+,-,+,-,0,0,0,-,0,0,0,0,0,0,0,+,-,+,-,-,-,-,-
b̤z̤,0,-,-,-,-,+,-,"-,+","-,+",-,-,-,-,-,"+,-",-,-,"-,+",+,-,+,-,0,0,0,0,0,0,0,+,-,+,-,-,-,-,-
d̤ɮ̤,0,-,-,-,-,+,-,"-,+","-,+",-,-,-,-,"-,+",-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,+,-,+,-,-,-,-,-
d̤ʒ̤,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,-,+,+,-,0,0,0,0,0,0,0,+,-,+,-,-,-,-,-
mbv,0,-,-,-,-,+,"+,-",-,+,-,-,-,"+,-",-,+,-,+,-,0,0,0,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
mbz,0,-,-,-,-,+,"+,-,-","-,-,+","0,-,+",-,-,-,"+,-,-",-,"+,+,-",-,-,"-,-,+",+,-,+,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
m̤b̤,0,-,-,-,-,+,"+,-",-,-,-,-,-,"+,-",-,+,-,-,-,0,0,0,-,0,0,0,0,0,0,0,+,-,+,-,-,-,-,-
ndl,0,-,-,-,-,+,"+,-,+","-,-,+",-,"-,-,+",-,-,"+,-,-","-,-,+",-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
n̠̩d̠ʒ,0,-,+,-,-,+,"+,-",-,+,-,-,-,"+,-",-,-,0,0,+,-,+,+,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
n̤d̤,0,-,-,-,-,+,"+,-",-,-,-,-,-,"+,-",-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,+,-,+,-,-,-,-,-
n̤d̤ɮ̤,0,-,-,-,-,+,"+,-,-","-,-,+","0,-,+",-,-,-,"+,-,-","-,-,+",-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,+,-,+,-,-,-,-,-
n̤ɡ̤,0,-,-,-,-,+,"+,-",-,-,-,-,-,"+,-",-,-,0,0,"+,-",+,-,-,"-,+",+,-,-,-,0,0,0,+,-,+,-,-,-,-,-
psʰ,0,-,-,-,-,+,-,"-,+","-,+",-,-,-,-,-,"+,-",-,-,"-,+",+,-,+,-,0,0,0,0,0,0,0,-,-,"-,+",-,-,-,-,-
r̤,0,-,-,-,-,+,+,+,0,+,-,+,-,-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,+,-,+,-,-,-,-,-
tlʱ,0,-,-,-,-,+,"-,+","-,+",-,"-,+",-,-,-,"-,+",-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,"-,+",-,"-,+",-,-,-,-,-
ŋ̤ɡǃ,0,-,-,-,-,+,"+,-,-",-,-,-,-,-,"+,-,-",-,-,0,0,"-,-,+",+,-,-,"+,+,-",+,-,-,-,0,0,0,"+,+,-",-,"+,-,-",-,-,-,-,"-,-,+"
ɦ̤,0,-,-,-,-,-,-,+,+,-,-,-,-,-,-,0,0,-,0,0,0,-,0,0,0,0,0,0,0,+,-,+,-,-,-,-,-
d̠̤ʒ̤,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,-,+,+,-,0,0,0,0,0,0,0,+,-,+,-,-,-,-,-
kxʼ,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,-,0,0,0,-,-,-,+,-,+,-,-
kǀʼ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,"-,+",+,+,-,"+,-",+,-,-,-,0,0,0,-,-,-,"-,+",-,"-,+",-,"-,+"
kǁʰ,0,-,-,-,-,+,-,-,-,-,-,-,-,"-,+",-,0,0,"-,+",+,-,-,"+,-",+,-,-,-,0,0,0,-,-,"-,+",-,-,-,-,"-,+"
mpfʼ,0,-,-,-,-,+,"+,-",-,+,-,-,-,"+,-",-,+,-,+,-,0,0,0,-,0,0,0,0,0,0,0,"+,-",-,-,+,-,+,-,-
mpʼ,0,-,-,-,-,+,"+,-",-,-,-,-,-,"+,-",-,+,-,-,-,0,0,0,-,0,0,0,0,0,0,0,"+,-",-,-,"-,+",-,"-,+",-,-
m̤b̤v̤,0,-,-,-,-,+,"+,-",-,+,-,-,-,"+,-",-,+,-,+,-,0,0,0,-,0,0,0,0,0,0,0,+,-,+,-,-,-,-,-
ntlʼ,0,-,-,-,-,+,"+,-,+","-,-,+",-,"-,-,+",-,-,"+,-,-","-,-,+",-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,"+,-,-",-,-,"-,-,+",-,"-,-,+",-,-
ntsʼ,0,-,-,-,-,+,"+,-",-,+,-,-,-,"+,-",-,-,0,0,+,+,-,+,-,0,0,0,0,0,0,0,"+,-",-,-,+,-,+,-,-
ntʼ,0,-,-,-,-,+,"+,-",-,-,-,-,-,"+,-",-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,"+,-",-,-,"-,+",-,"-,+",-,-
n̠t̠ʃʼ,0,-,-,-,-,+,"+,-",-,+,-,-,-,"+,-",-,-,0,0,+,-,+,+,-,0,0,0,0,0,0,0,"+,-",-,-,+,-,+,-,-
n̠̤d̠̤ʒ,0,-,-,-,-,+,"+,-",-,+,-,-,-,"+,-",-,-,0,0,+,-,+,+,-,0,0,0,0,0,0,0,+,-,+,-,-,-,-,-
n̤d̤z̤,0,-,-,-,-,+,"+,-",-,+,-,-,-,"+,-",-,-,0,0,+,+,-,+,-,0,0,0,0,0,0,0,+,-,+,-,-,-,-,-
z̤,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,+,-,+,-,0,0,0,0,0,0,0,+,-,+,-,-,-,-,-
ŋkʼ,0,-,-,-,-,+,"+,-",-,-,-,-,-,"+,-",-,-,0,0,-,0,0,0,+,+,-,-,-,0,0,0,"+,-",-,-,"-,+",-,"-,+",-,-
ŋǀ,0,-,-,-,-,+,"+,-",-,-,-,-,-,"+,-",-,-,0,0,"-,+",+,+,-,"+,-",+,-,-,-,0,0,0,"+,-",-,-,-,-,-,-,"-,+"
ŋǁ,0,-,-,-,-,+,"+,-",-,-,-,-,-,"+,-","-,+",-,0,0,"-,+",+,-,-,"+,-",+,-,-,-,0,0,0,"+,-",-,-,-,-,-,-,"-,+"
ŋǁʼ,0,-,-,-,-,+,"+,-",-,-,-,-,-,"+,-","-,+",-,0,0,"-,+",+,-,-,"+,-",+,-,-,-,0,0,0,"+,-",-,-,"-,+",-,"-,+",-,"-,+"
ŋǃʼ,0,-,-,-,-,+,"+,-",-,-,-,-,-,"+,-",-,-,0,0,"-,+",+,-,-,"+,-",+,-,-,-,0,0,0,"+,-",-,-,"-,+",-,"-,+",-,"-,+"
