iso639_3;data_type;text_type;transcription_type;tokens;resource_setting;transcription_convention;path-pdf;path-ortho;path-transcription;link;last_accessed;availability;language_variety;language_name;100LC;script;notes_on_source;notes;;;;;;;;
deu;text file;word list;Broad;34’145;high;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;German;true;Latin;WikiPron Data, mined from Wiktionary;;;;;;;;;
deu;text file;word list;Narrow;10’984;high;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;German;true;Latin;WikiPron Data, mined from Wiktionary;;;;;;;;;
div;text file;word list;Broad;130;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;19.10.2021;0;;Dhivehi;false;Maldivian Dhivehi Thaana;WikiPron Data, mined from Wiktionary;;;;;;;;;
deu;pdf;full text (the north wind and the sun);broad;;;IPA;the-principles-of-the-international-phonetic-association-1949.pdf;;;https://www.cambridge.org/core/journals/journal-of-the-international-phonetic-association/article/principles-of-the-international-phonetic-association-1949/ABD87488D9A321AFB8E5E67DF49EF6AF;09.07.2021;1;North German;German;true;;;;;;;;;;;
deu;pdf;full text (the north wind and the sun);narrow, sentence stress marked;;;IPA;the-principles-of-the-international-phonetic-association-1949.pdf;;;https://www.cambridge.org/core/journals/journal-of-the-international-phonetic-association/article/principles-of-the-international-phonetic-association-1949/ABD87488D9A321AFB8E5E67DF49EF6AF;09.07.2021;1;North German;German;true;;;;;;;;;;;
deu;text file;full text (the north wind and the sun);broad;108;low;IPA;;theNorthWindAndTheSun/deu-orthographic.txt;theNorthWindAndTheSun/deu-broad.txt;https://de.wikipedia.org/wiki/Die_Sonne_und_der_Wind;09.07.2021;1;North German;German;true;;;;;;;;;;;
deu;text file;full text (the north wind and the sun);narrow;108;low;IPA;;theNorthWindAndTheSun/deu-orthographic.txt;theNorthWindAndTheSun/deu-narrow.txt;https://de.wikipedia.org/wiki/Die_Sonne_und_der_Wind;09.07.2021;1;North German;German;true;;;;;;;;;;;
dlm;text file;word list;Broad;176;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Dalmatian;false;Latin;;;;;;;;;;
dng;text file;word list;Broad;160;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Dungan;false;Cyrillic;;;;;;;;;;
dsb;text file;word list;Broad;1’986;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Lower Sorbian;false;Latin;;;;;;;;;;
dgz;;;;;;;;;;;;;;Daga;true;;;;;;;;;;;
dsb;text file;word list;Narrow;1’393;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Lower Sorbian;false;Latin;;;;;;;;;;
dum;text file;word list;Broad;210;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Middle Dutch (ca. 1050-1350);false;Latin;;;;;;;;;;
dni;;;;;;;;;;;;;;Lower Grand Valley Dani;true;;;;;;;;;;;
ekk;image;full text (the north wind and the sun);;;;IPA;the-principles-of-the-international-phonetic-association-1949.pdf;;;https://www.cambridge.org/core/journals/journal-of-the-international-phonetic-association/article/principles-of-the-international-phonetic-association-1949/ABD87488D9A321AFB8E5E67DF49EF6AF;09.07.2021;1;;Estonian;false;;;;;;;;;;;
dzo;text file;word list;Broad;188;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Dzongkha;false;Tibetan;;;;;;;;;;
egy;text file;word list;Broad;3’403;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Egyptian (Ancient);false;Latin;;;;;;;;;;
ekk;text file;word list;Broad;429;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Estonian;false;Latin;;;;;;;;;;
ell;text file;word list;Broad;10’626;high;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Modern Greek;true;Greek;WikiPron Data, mined from Wiktionary;;;;;;;;;
ell;text file;word list;Broad;10’547;high;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Modern Greek;true;Greek;WikiPron Data, mined from Wiktionary;;;;;;;;;
ell;pdf;full text (the north wind and the sun);narrow;;;IPA;the-principles-of-the-international-phonetic-association-1949.pdf;;;https://www.cambridge.org/core/journals/journal-of-the-international-phonetic-association/article/principles-of-the-international-phonetic-association-1949/ABD87488D9A321AFB8E5E67DF49EF6AF;09.07.2021;1;Athenian;Modern Greek;true;Greek;;;;;;;;;;
ell;pdf;full text (the north wind and the sun);unk;114;low;IPA;theNorthWindAndTheSun/standard-modern-greek.pdf;theNorthWindAndTheSun/ell-orthographic.txt;theNorthWindAndTheSun/ell.txt;https://www.cambridge.org/core/journals/journal-of-the-international-phonetic-association/article/standard-modern-greek/7CF5A4CA5CD0BFD73C9CA6329C313125;12.08.2021;1;;Modern Greek;true;Greek;the transcription was provided by Simon Greenhill, https://github.com/SimonGreenhill/jipa;vairants of the small letter sigma (?) wer replaced by the more commonly used ?;;;;;;;;
ell;text file;word list;Narrow;408;low;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Modern Greek;true;Greek;WikiPron Data, mined from Wiktionary;;;;;;;;;
ell;text file;word list;unk;217’664;high;IPA;;;word-list/gre_grek_ilsp.tsv;http://speech.ilsp.gr/iplr/downloads.htm;31.08.2021;0;;Greek;true;Greek;;;;;;;;;;
eng;text file;word list;unk;41’000;high;IPA;;;;https://github.com/sigmorphon/2021-task1/tree/main/data/high;13.07.2021;0;American;English;true;;WikiPron Data, mined from Wiktionary;;;;;;;;;
eng;text file;word list;Broad;61’173;high;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;UK, Received Pronunciation;English;true;Latin;WikiPron Data, mined from Wiktionary;;;;;;;;;
eng;text file;word list;Broad;60’422;high;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;UK, Received Pronunciation;English;true;Latin;WikiPron Data, mined from Wiktionary;;;;;;;;;
eng;pdf;full text (the north wind and the sun);broad;;;IPA;the-principles-of-the-international-phonetic-association-1949.pdf;;;https://www.cambridge.org/core/journals/journal-of-the-international-phonetic-association/article/principles-of-the-international-phonetic-association-1949/ABD87488D9A321AFB8E5E67DF49EF6AF;09.07.2021;1;Southern British;English;true;Latin;;;;;;;;;;
eng;pdf;full text (the north wind and the sun);narrow, sentence stress marked;;;IPA;the-principles-of-the-international-phonetic-association-1949.pdf;;;https://www.cambridge.org/core/journals/journal-of-the-international-phonetic-association/article/principles-of-the-international-phonetic-association-1949/ABD87488D9A321AFB8E5E67DF49EF6AF;09.07.2021;1;Southern British;English;true;Latin;;;;;;;;;;
eng;pdf;full text (the north wind and the sun);narrow, no sentence stress;;;IPA;the-principles-of-the-international-phonetic-association-1949.pdf;;;https://www.cambridge.org/core/journals/journal-of-the-international-phonetic-association/article/principles-of-the-international-phonetic-association-1949/ABD87488D9A321AFB8E5E67DF49EF6AF;09.07.2021;1;Southern British;English;true;Latin;;;;;;;;;;
eng;pdf;full text (the north wind and the sun);broad, sentences stress not markes;;;IPA;the-principles-of-the-international-phonetic-association-1949.pdf;;;https://www.cambridge.org/core/journals/journal-of-the-international-phonetic-association/article/principles-of-the-international-phonetic-association-1949/ABD87488D9A321AFB8E5E67DF49EF6AF;09.07.2021;1;Scottish;English;true;Latin;;;;;;;;;;
eng;pdf;full text (the north wind and the sun);broad, sentence stress marked;;;IPA;the-principles-of-the-international-phonetic-association-1949.pdf;;;https://www.cambridge.org/core/journals/journal-of-the-international-phonetic-association/article/principles-of-the-international-phonetic-association-1949/ABD87488D9A321AFB8E5E67DF49EF6AF;09.07.2021;1;American;English;true;Latin;;;;;;;;;;
eng;text file;word list;Narrow;1’284;high;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;UK, Received Pronunciation;English;true;Latin;WikiPron Data, mined from Wiktionary;;;;;;;;;
